id,regiaosigla,estadosigla,municipio,revenda,cnpjrevenda,produto,datacoleta,valorvenda,valorcompra,unidademedida,bandeira
1,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,DIESEL,16/01/2019,4,0,R$ / litro,RAIZEN
2,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,DIESEL,23/01/2019,4,3,R$ / litro,RAIZEN
3,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,DIESEL S10,16/01/2019,4,0,R$ / litro,RAIZEN
4,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,DIESEL S10,23/01/2019,4,3,R$ / litro,RAIZEN
5,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,ETANOL,16/01/2019,3,3,R$ / litro,RAIZEN
6,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,ETANOL,23/01/2019,3,4,R$ / litro,RAIZEN
7,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,GASOLINA,16/01/2019,4,4,R$ / litro,RAIZEN
8,CO,DF,BRASILIA,ABRITTA POSTOS DE SERVICOS LTDA,10668900000000,GASOLINA,23/01/2019,4,3,R$ / litro,RAIZEN
9,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,DIESEL,16/01/2019,4,3,R$ / litro,BRANCA
10,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,DIESEL,23/01/2019,4,3,R$ / litro,BRANCA
11,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,DIESEL S10,16/01/2019,4,3,R$ / litro,BRANCA
12,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,DIESEL S10,23/01/2019,4,3,R$ / litro,BRANCA
13,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,ETANOL,16/01/2019,3,3,R$ / litro,BRANCA
14,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,ETANOL,23/01/2019,3,4,R$ / litro,BRANCA
15,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,GASOLINA,16/01/2019,4,4,R$ / litro,BRANCA
16,CO,DF,BRASILIA,AGUAS CLARAS POSTO DE SERVICOS LTDA,6006440000000,GASOLINA,23/01/2019,4,0,R$ / litro,BRANCA
17,CO,DF,BRASILIA,AM COMERCIAL DE COMBUSTIVEIS LTDA,8215640000000,DIESEL S10,08/01/2019,4,0,R$ / litro,PETROBRAS DISTRIBUIDORA S.A.
18,CO,DF,BRASILIA,AM COMERCIAL DE COMBUSTIVEIS LTDA,8215640000000,DIESEL S10,11/02/2019,4,3,R$ / litro,PETROBRAS DISTRIBUIDORA S.A.
